wavelength,n,k
2.034926805495212875e+03,1.553782779110700618e+00,1.259924255355102400e-04
2.070463551861476844e+03,1.553725664826168140e+00,1.357080506766508460e-04
2.106620890741874518e+03,1.553668552641054967e+00,1.461728746008289026e-04
2.143409659793422179e+03,1.553611442555283828e+00,1.574446701027286692e-04
2.180840885935505867e+03,1.553554334568777451e+00,1.695856649973582965e-04
2.218925788655044016e+03,1.553494070041768094e+00,1.823368909295653491e-04
2.257675783369378223e+03,1.553431510631884116e+00,1.957923533124861454e-04
2.297102484847876440e+03,1.553368953741275815e+00,2.102407550123780498e-04
2.337217710693302251e+03,1.553306399369841717e+00,2.257553695042891005e-04
2.378033484883978872e+03,1.553243847517480347e+00,2.424148774438028510e-04
2.419562041377802871e+03,1.553178266100771143e+00,2.583153848622969889e-04
2.461815827779205392e+03,1.553110263193151042e+00,2.735763565984975138e-04
2.504807509070146352e+03,1.553042263262906841e+00,2.897389287502411524e-04
2.548549971406267559e+03,1.552974266309907980e+00,3.068563668187920747e-04
2.593056325979336634e+03,1.552906272334024340e+00,3.249850831691215121e-04
2.638339912947144057e+03,1.552833181485946623e+00,3.540025046243385344e-04
2.684414305432024321e+03,1.552759736963291282e+00,3.863710760118335913e-04
2.731293313589221270e+03,1.552686295914349479e+00,4.216992999441026928e-04
2.778990988746275434e+03,1.552612858338957125e+00,4.602577951976395557e-04
2.827521627614721638e+03,1.552553989238491639e+00,4.962117472006210206e-04
2.876899776575326086e+03,1.552502763224367754e+00,5.315393923427477350e-04
2.927140236038159856e+03,1.552451538900429195e+00,5.693821784873366772e-04
2.978258064878819368e+03,1.552400316266620894e+00,6.099191703367438412e-04
3.030268584952106266e+03,1.552402788530306887e+00,6.475812270003061854e-04
3.083187385684544097e+03,1.552431415788349423e+00,6.846089770065661058e-04
3.137030328747094245e+03,1.552460043574295900e+00,7.237539197499865068e-04
3.191813552809462635e+03,1.552488671888156535e+00,7.651371132231685147e-04
3.247553478377443753e+03,1.552491263199558214e+00,8.158011761531346181e-04
3.304266812714740809e+03,1.552492370411814537e+00,8.702421123054947857e-04
3.361970554850728149e+03,1.552493477624860452e+00,9.283160605394509416e-04
3.420682000675681593e+03,1.552494709632097569e+00,9.922235660275028398e-04
3.480418748124970080e+03,1.552496096901968770e+00,1.063140278563120449e-03
3.541198702453796614e+03,1.552497484173079423e+00,1.139125586815518867e-03
3.603040081604050101e+03,1.552500617114242809e+00,1.220510367673068378e-03
3.665961421664871523e+03,1.552514026777941147e+00,1.307511714963996994e-03
3.729981582428594720e+03,1.552527436557465057e+00,1.400714758390343099e-03
3.795119753043701166e+03,1.552540297524090507e+00,1.500243651168183022e-03
3.861395457766499931e+03,1.552530079984838940e+00,1.592593644517633928e-03
3.928828561813255874e+03,1.552519862512830917e+00,1.690628395316322004e-03
3.997439277314501396e+03,1.552507659605151691e+00,1.793993451102123991e-03
4.067248169373344808e+03,1.552465098599923987e+00,1.892285999287848927e-03
4.138276162229578404e+03,1.552422538761479176e+00,1.995963976847864221e-03
4.210544545531414769e+03,1.552364075768200902e+00,2.103706139897332326e-03
4.284074980716768550e+03,1.552256350478242952e+00,2.211995347025819993e-03
4.358889507505971778e+03,1.552148632663811201e+00,2.325858789147551217e-03
4.435010550507864536e+03,1.552021865077764406e+00,2.452748872330130694e-03
4.512460925941268215e+03,1.551879997741034245e+00,2.592569199453873853e-03
4.591263848473819962e+03,1.551738143372124457e+00,2.740360062859394617e-03
4.671442938180243800e+03,1.551729565720569193e+00,2.886770415528509479e-03
4.753022227622148421e+03,1.551722220117515150e+00,3.040907769136271411e-03
4.836026169051441684e+03,1.551718791031524880e+00,3.199930020845062357e-03
4.920479641739553699e+03,1.551718791031524880e+00,3.364189223663542182e-03
5.006407959434651275e+03,1.551718791031524880e+00,3.541358321785247412e-03
5.093836877949081099e+03,1.551718791031524880e+00,3.750033166691008057e-03
5.182792602879318110e+03,1.551718791031524880e+00,3.971004194851815439e-03
5.273301797460717353e+03,1.551718791031524880e+00,4.193784364115942138e-03
5.365391590559450378e+03,1.551718791031524880e+00,4.427906824738703229e-03
5.459089584804012702e+03,1.551718865937188774e+00,4.661701409514992095e-03
5.554423864858710658e+03,1.551718968337248095e+00,4.902673107071450417e-03
