wavelength,n,k
3.665961421664871523e+03,1.667080879455750786e+00,1.642922607535334534e-01
3.729981582428594720e+03,1.668392595674366818e+00,1.649534270130897651e-01
3.795119753043701166e+03,1.669721939806988242e+00,1.656206408071577707e-01
3.861395457766499931e+03,1.671065025516162761e+00,1.662903672567628000e-01
3.928828561813255874e+03,1.672486995618772454e+00,1.667507768191849593e-01
3.997439277314501396e+03,1.674029335154886722e+00,1.668394873770905618e-01
4.067248169373344808e+03,1.671912520658896950e+00,1.634258615574708251e-01
4.138276162229578404e+03,1.669388904791896389e+00,1.595315294492009595e-01
4.210544545531414769e+03,1.666866023279735209e+00,1.555450019215882385e-01
4.284074980716768550e+03,1.664338775856248454e+00,1.514640290576263759e-01
4.358889507505971778e+03,1.661818164682493437e+00,1.472916274012832927e-01
4.435010550507864536e+03,1.659308603106832036e+00,1.430312603950398831e-01
4.512460925941268215e+03,1.656812699077502726e+00,1.386826191608567516e-01
4.591263848473819962e+03,1.654365865645043954e+00,1.342437965935865951e-01
4.671442938180243800e+03,1.652028579816741782e+00,1.297561007156324830e-01
4.753022227622148421e+03,1.651210139857516745e+00,1.275934436857601162e-01
4.836026169051441684e+03,1.650395996894795214e+00,1.253951967270038326e-01
4.920479641739553699e+03,1.649586189724709051e+00,1.231617683638017713e-01
5.006407959434651275e+03,1.648779169832258473e+00,1.208992782614705663e-01
5.093836877949081099e+03,1.647974382891622236e+00,1.186125388506763662e-01
5.182792602879318110e+03,1.647172838282506602e+00,1.162945959783750344e-01
5.273301797460717353e+03,1.646375511853772400e+00,1.139384423494013143e-01
5.365391590559450378e+03,1.646076210538950813e+00,1.124371892798423089e-01
5.459089584804012702e+03,1.646923360340087017e+00,1.127846171344746712e-01
5.554423864858710658e+03,1.647987151136772965e+00,1.130889355047126760e-01
5.651423005841656959e+03,1.649072679466297098e+00,1.133969556012750651e-01
5.750116081889760608e+03,1.650180252133013781e+00,1.137086115915356688e-01
5.850532674873289579e+03,1.651308601463814529e+00,1.140238091145851507e-01
5.952702883262635623e+03,1.652456716852943375e+00,1.143420170533929331e-01
6.056657331149892343e+03,1.653426917166147536e+00,1.147333063188264446e-01
6.162427177428005052e+03,1.654240206973653926e+00,1.151911489240612929e-01
6.270044125130228167e+03,1.655070178079507182e+00,1.156537328651148638e-01
6.379540430932644085e+03,1.655916036722940188e+00,1.161220530054675459e-01
6.490948914822662118e+03,1.656775949405862258e+00,1.165964492213421716e-01
6.604302969936352383e+03,1.657644583106016034e+00,1.170779856627973958e-01
